constParams1.beta deg,globalForce1.F N,time s,revoluteJoint3.phiRel rad,prismaticJoint1.xRel m
10.5,92.5,1.76199999999992,1.56916099401219,0.896371684408687
11.0,92.5,1.66299999999993,1.57184161205959,0.722270358244059
11.5,92.5,1.58899999999994,1.57150704258826,0.600288064436123
12.0,92.5,1.52999999999994,1.57010409460453,0.508293669016903
10.0,92.75,1.9259999999999,1.57100232278455,1.21748445331677
10.5,92.75,1.76899999999992,1.57241623975001,0.91433301944839
11.0,92.75,1.66699999999993,1.57085118650116,0.733238125365358
11.5,92.75,1.59199999999994,1.57044069976751,0.608894904606265
12.0,92.75,1.53299999999994,1.57112506474964,0.516659618430642
10.0,93,1.9369999999999,1.57237684947964,1.24568684332609
10.5,93,1.77499999999992,1.57184701939093,0.930134764287269
11.0,93,1.67099999999993,1.56970884938692,0.744286541614661
11.5,93,1.59499999999994,1.56927660977132,0.617571802835797
12.0,93,1.53599999999994,1.57207097715785,0.525071938078848
10.0,93.25,1.9479999999999,1.57241155262727,1.27397196620608
10.5,93.25,1.78099999999991,1.57083315513704,0.945989135569964
11.0,93.25,1.67599999999993,1.5717062845063,0.75744674214922
11.5,93.25,1.59899999999993,1.57132730790807,0.628236715650342
12.0,93.25,1.53799999999994,1.56949695251751,0.531462132715519
10.0,93.5,1.9589999999999,1.57102523201054,1.30238587563457
10.5,93.5,1.78699999999991,1.56937459139495,0.96191344945932
11.0,93.5,1.67999999999993,1.57009949600711,0.768542253392885
11.5,93.5,1.60199999999993,1.5698593611555,0.636905251223459
12.0,93.5,1.54099999999994,1.57026060714394,0.539907200221998
10.0,93.75,1.97099999999989,1.57044075443622,1.33321201327301
10.5,93.75,1.79399999999991,1.57081086840861,0.98014319638294
11.0,93.75,1.68499999999993,1.57165111910704,0.781791237237102
11.5,93.75,1.60599999999993,1.57167806248779,0.647713050869172
12.0,93.75,1.54399999999994,1.57093465634487,0.548368281078308
10.0,94,1.98299999999989,1.56922708732578,1.36436036000199
10.5,94,1.80099999999991,1.57178731244026,0.998437847825467
11.0,94,1.68899999999992,1.56953682287945,0.792980942773167
11.5,94,1.60899999999993,1.56992693405475,0.656436996594477
12.0,94,1.54699999999994,1.57152116505906,0.55687380660563
10.0,94.25,1.99599999999989,1.56954795545326,1.39804517715869
10.5,94.25,1.80799999999991,1.57219456223414,1.01682902729031
11.0,94.25,1.69399999999992,1.57060515860598,0.806351568256861
11.5,94.25,1.61299999999993,1.57141833418609,0.667282556204372
12.0,94.25,1.54999999999994,1.57201315143837,0.565404318620506
10.0,94.5,2.00999999999989,1.57229347051534,1.43450475542642
10.5,94.5,1.81499999999991,1.57161617469544,1.03517615294103
11.0,94.5,1.69899999999992,1.57140807033598,0.819752513251189
11.5,94.5,1.61599999999993,1.56942120809159,0.676117928935714
12.0,94.5,1.55299999999994,1.57240905699772,0.573959743972194
